,Outcome
1061,1
1062,0
1063,1
1064,0
1065,1
1066,0
1067,1
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,1
1078,1
1079,0
1080,1
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,1
1092,1
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,1
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,1
1148,1
1149,1
1150,0
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,1
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1202,1
1203,1
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,1
1214,1
1215,0
1216,1
1217,0
1218,0
1219,1
1220,0
1221,1
1222,1
1223,1
1224,0
1225,0
1226,1
1227,1
1228,1
1229,1
1230,0
1231,1
1232,0
1233,0
1234,0
1235,0
1236,0
1237,1
1238,0
1239,0
1240,1
1241,0
1242,0
1243,1
1244,0
1245,0
1246,0
1247,1
1248,0
1249,1
1250,0
1251,1
1252,1
1253,0
1254,1
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,1
1263,0
1264,1
1265,1
1266,1
1267,0
1268,0
1269,1
1270,1
1271,0
1272,0
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,0
1281,1
1282,1
1283,1
1284,1
1285,0
1286,1
1287,0
1288,1
1289,0
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,1
1300,0
1301,0
1302,0
1303,0
1304,1
1305,0
1306,0
1307,0
1308,1
1309,0
1310,1
1311,1
1312,0
1313,1
1314,1
1315,0
1316,1
1317,1
1318,1
1319,1
1320,0
1321,1
1322,1
1323,1
1324,0
1325,0
1326,0
1327,0
1328,1
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,1
1337,0
1338,0
1339,0
1340,1
1341,1
1342,1
1343,0
1344,1
1345,1
1346,0
1347,0
1348,1
1349,1
1350,1
1351,1
1352,0
1353,0
1354,1
1355,1
1356,1
1357,1
1358,0
1359,0
1360,1
1361,1
1362,0
1363,0
1364,0
1365,1
1366,0
1367,0
1368,0
1369,1
1370,1
1371,0
1372,0
1373,1
1374,0
1375,0
1376,1
1377,0
1378,0
1379,1
1380,0
1381,1
1382,0
1383,1
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,0
1398,0
1399,0
1400,0
1401,1
1402,1
1403,0
1404,0
1405,0
1406,1
1407,1
1408,1
1409,0
1410,0
1411,1
1412,0
1413,0
1414,0
1415,1
1416,0
1417,0
1418,1
1419,1
1420,0
1421,0
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,0
1430,0
1431,0
1432,1
1433,0
1434,0
1435,1
1436,0
1437,1
1438,1
1439,1
1440,0
1441,0
1442,1
1443,1
1444,1
1445,0
1446,1
1447,1
1448,1
1449,0
1450,1
1451,0
1452,0
1453,0
1454,1
1455,0
1456,1
1457,1
1458,0
1459,1
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,1
1467,0
1468,0
1469,0
1470,1
1471,1
1472,0
1473,1
1474,0
1475,0
1476,0
1477,1
1478,1
1479,1
1480,0
1481,0
1482,0
1483,0
1484,1
1485,1
1486,0
1487,0
1488,0
1489,1
1490,0
1491,1
1492,0
1493,0
1494,0
1495,1
1496,1
1497,0
1498,0
1499,1
1500,1
1501,0
1502,1
1503,1
1504,1
1505,1
1506,0
1507,1
1508,0
1509,1
1510,0
1511,0
1512,1
1513,0
1514,1
1515,0
1516,1
1517,1
1518,1
1519,0
1520,1
1521,0
1522,1
1523,0
1524,0
1525,1
1526,0
1527,0
1528,1
1529,1
1530,0
1531,1
1532,1
1533,1
1534,1
1535,0
1536,1
1537,0
1538,1
1539,0
1540,1
1541,0
1542,1
1543,1
1544,0
1545,0
1546,0
1547,0
1548,0
1549,1
1550,0
1551,0
1552,0
1553,1
1554,1
1555,0
1556,1
1557,1
1558,0
1559,0
1560,1
1561,0
1562,1
1563,0
1564,1
1565,1
1566,1
1567,0
1568,1
1569,1
1570,1
1571,1
1572,0
1573,0
1574,1
1575,0
1576,1
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,1
1588,1
1589,0
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,0
1599,1
1600,0
1601,1
1602,1
1603,0
1604,0
1605,1
1606,0
1607,0
1608,1
1609,0
1610,1
1611,1
1612,0
1613,0
1614,0
1615,1
1616,1
1617,1
1618,1
1619,0
1620,0
1621,1
1622,1
1623,0
1624,1
1625,0
1626,1
1627,0
1628,0
1629,0
1630,0
1631,1
1632,1
1633,1
1634,0
1635,1
1636,1
1637,1
1638,0
1639,0
1640,0
1641,0
1642,1
1643,1
1644,0
1645,0
1646,0
1647,0
1648,1
1649,0
1650,0
1651,0
1652,1
1653,0
1654,1
1655,0
1656,0
1657,0
1658,1
1659,0
1660,1
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,1
1669,1
1670,1
1671,0
1672,0
1673,1
1674,0
1675,1
1676,0
1677,1
1678,0
1679,1
1680,1
1681,0
1682,1
1683,1
1684,1
1685,0
1686,0
1687,1
1688,0
1689,1
1690,0
1691,1
1692,1
1693,0
1694,1
1695,1
1696,0
1697,0
1698,1
1699,0
1700,1
1701,1
1702,0
1703,0
1704,0
1705,0
1706,0
1707,1
1708,0
1709,1
1710,0
1711,1
1712,1
1713,1
1714,1
1715,0
1716,0
1717,0
1718,0
1719,0
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,1
1728,0
1729,1
1730,0
1731,0
1732,0
1733,1
1734,1
1735,0
1736,1
1737,0
1738,1
1739,1
1740,0
1741,0
1742,1
1743,1
1744,0
1745,1
1746,1
1747,0
1748,0
1749,0
1750,1
1751,1
1752,1
1753,1
1754,1
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,1
1765,0
1766,0
1767,1
1768,0
1769,1
1770,0
1771,0
1772,0
1773,1
1774,1
1775,0
1776,1
1777,0
1778,1
1779,0
1780,0
1781,1
1782,1
1783,1
1784,0
1785,0
1786,1
1787,0
1788,0
1789,0
1790,1
1791,0
1792,1
1793,0
1794,0
1795,0
1796,0
1797,0
1798,1
1799,0
1800,0
1801,1
1802,1
1803,1
1804,1
1805,0
1806,0
1807,0
1808,0
1809,1
1810,1
1811,1
1812,0
1813,0
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,0
1822,0
1823,0
1824,1
1825,0
1826,0
1827,1
1828,0
1829,1
1830,0
1831,1
1832,1
1833,0
1834,0
1835,1
1836,1
1837,0
1838,1
1839,1
1840,1
1841,0
1842,1
1843,1
1844,0
1845,1
1846,1
1847,1
1848,1
1849,0
1850,0
1851,1
1852,0
1853,0
1854,0
1855,1
1856,1
1857,0
1858,1
1859,1
1860,0
1861,1
1862,1
1863,0
1864,1
1865,1
1866,1
1867,0
1868,1
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,1
1880,1
1881,0
1882,0
1883,1
1884,1
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,1
1893,0
1894,1
1895,0
1896,1
1897,1
1898,0
1899,0
1900,1
1901,1
1902,0
1903,0
1904,0
1905,1
1906,0
1907,1
1908,0
1909,0
1910,1
1911,1
1912,0
1913,1
1914,0
1915,0
1916,1
1917,0
1918,0
1919,0
1920,1
1921,1
1922,0
1923,1
1924,1
1925,0
1926,1
1927,1
1928,1
1929,1
1930,0
1931,0
1932,1
1933,1
1934,1
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,0
1942,0
1943,0
1944,1
1945,0
1946,0
1947,0
1948,1
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,0
1956,0
1957,1
1958,1
1959,1
1960,0
1961,1
1962,0
1963,1
1964,0
1965,0
1966,1
1967,1
1968,0
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,1
1979,0
1980,1
1981,0
1982,1
1983,0
1984,0
1985,1
1986,0
1987,1
1988,1
1989,1
1990,0
1991,0
1992,1
1993,0
1994,0
1995,1
1996,1
1997,1
1998,0
1999,1
2000,0
2001,1
2002,1
2003,1
2004,1
2005,0
2006,0
2007,1
2008,1
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,1
2016,1
2017,1
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
2024,0
2025,1
2026,1
2027,1
2028,1
2029,0
2030,1
2031,1
2032,1
2033,1
2034,0
2035,1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,0
2042,1
2043,0
2044,1
2045,0
2046,0
2047,0
2048,1
2049,0
2050,1
2051,0
2052,0
2053,0
2054,0
2055,0
2056,1
2057,0
2058,0
2059,1
2060,0
2061,1
2062,0
2063,0
2064,0
2065,1
2066,1
2067,1
2068,0
2069,0
2070,1
2071,1
2072,1
2073,1
2074,0
2075,0
2076,1
2077,1
2078,1
2079,1
2080,1
2081,0
2082,0
2083,0
2084,0
2085,0
2086,1
2087,0
2088,0
2089,0
2090,0
2091,1
2092,0
2093,0
2094,1
2095,0
2096,0
2097,0
2098,1
2099,1
2100,0
2101,0
2102,0
2103,1
2104,1
2105,0
2106,0
2107,0
2108,0
2109,0
2110,1
2111,0
2112,1
2113,1
2114,0
2115,0
2116,0
2117,1
2118,1
2119,1
2120,1
2121,1
2122,0
2123,1
2124,0
2125,1
2126,1
2127,0
2128,0
2129,0
2130,1
2131,1
2132,0
2133,1
2134,0
2135,1
2136,0
2137,1
2138,1
2139,1
2140,1
2141,0
2142,1
2143,1
2144,0
2145,0
2146,0
2147,1
2148,0
2149,1
2150,0
2151,0
2152,0
2153,1
2154,0
2155,0
2156,1
2157,0
2158,0
2159,1
2160,0
2161,0
2162,0
2163,1
2164,0
2165,1
2166,1
2167,0
2168,1
2169,1
2170,1
2171,1
2172,0
2173,0
2174,1
2175,0
2176,0
2177,0
2178,1
2179,0
2180,1
2181,1
2182,1
2183,1
2184,0
2185,1
2186,1
2187,1
2188,0
2189,1
2190,1
2191,1
2192,0
2193,0
2194,1
2195,1
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,1
2205,0
2206,0
2207,0
2208,1
2209,0
2210,0
2211,1
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,1
2219,0
2220,1
2221,1
2222,1
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,0
2236,1
2237,1
2238,1
2239,1
2240,0
2241,0
2242,1
2243,0
2244,0
2245,1
2246,1
2247,0
2248,0
2249,1
2250,0
2251,1
2252,1
2253,0
2254,1
2255,0
2256,1
2257,1
2258,0
2259,0
2260,0
2261,1
2262,1
2263,1
2264,0
2265,1
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,1
2274,0
2275,0
2276,1
2277,1
2278,0
2279,0
2280,1
2281,0
2282,0
2283,1
2284,1
2285,0
2286,1
2287,1
2288,1
2289,1
2290,0
2291,0
2292,0
2293,0
2294,1
2295,0
2296,0
2297,1
2298,0
2299,0
2300,1
2301,0
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,1
2317,1
2318,1
2319,1
2320,0
2321,0
2322,0
2323,0
2324,1
2325,1
2326,0
2327,0
2328,1
2329,0
2330,1
2331,0
2332,0
2333,1
2334,0
2335,0
2336,1
2337,1
2338,1
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,1
2346,0
2347,1
2348,0
2349,0
2350,1
2351,0
2352,0
2353,1
2354,1
2355,1
2356,1
2357,0
2358,0
2359,1
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,1
2367,1
2368,1
2369,0
2370,0
2371,0
2372,0
2373,1
2374,0
2375,0
2376,0
2377,1
2378,1
2379,0
2380,0
2381,0
2382,0
2383,1
2384,1
2385,1
2386,1
2387,0
2388,0
2389,1
2390,0
2391,1
2392,1
2393,0
2394,0
2395,1
2396,0
2397,0
2398,0
2399,0
2400,0
2401,1
2402,0
2403,1
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,1
2415,0
2416,0
2417,1
2418,0
2419,0
2420,1
2421,0
2422,0
2423,0
2424,0
2425,1
2426,0
2427,1
2428,0
2429,1
2430,0
2431,0
2432,0
2433,1
2434,1
2435,0
2436,1
2437,0
2438,1
2439,1
2440,0
2441,0
2442,0
2443,1
2444,0
2445,0
2446,0
2447,1
2448,1
2449,0
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2456,0
2457,0
2458,1
2459,1
2460,0
2461,0
2462,0
2463,0
2464,0
2465,1
2466,1
2467,0
2468,0
2469,1
2470,1
2471,1
2472,0
2473,0
2474,1
2475,0
2476,0
2477,1
2478,0
2479,0
2480,0
2481,0
2482,1
2483,1
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,1
2491,0
2492,1
2493,0
2494,1
2495,0
2496,0
2497,1
2498,0
2499,0
2500,1
2501,0
2502,1
2503,0
2504,1
2505,1
2506,1
2507,0
2508,1
2509,0
2510,1
2511,0
2512,1
2513,1
2514,0
2515,1
2516,1
2517,0
2518,1
2519,1
2520,1
2521,0
2522,0
2523,1
2524,1
2525,0
2526,1
2527,1
2528,0
2529,1
2530,0
2531,0
2532,1
2533,0
2534,1
2535,1
2536,1
2537,1
2538,0
2539,1
2540,1
2541,0
