Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Starting side,Rounds,Team rating,Entries,Clutches,Map,Tournament,Date,Team1,Team2,ResultTeam1,ResultTeam2,T1pick,Bets,choices,MatchID
rmn,3 (0),4 (1),18,40.0%,-15,45.4,1,0.36,SAW,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
cadiaN,20 (2),3 (1),10,86.4%,10,83.8,0,1.57,Heroic,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
sjuush,19 (8),7 (0),14,77.3%,5,111.2,-2,1.46,Heroic,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
refrezh,18 (7),4 (1),12,86.4%,6,84.9,2,1.44,Heroic,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
TeSeS,19 (11),3 (1),10,77.3%,9,75.4,-2,1.24,Heroic,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
stavn,14 (3),6 (3),11,72.7%,3,66.5,0,1.15,Heroic,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
MUTiRiS,17 (11),1 (0),17,68.2%,0,78.2,2,1.0,SAW,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
JUST,15 (10),4 (1),19,59.1%,-4,69.1,-1,0.89,SAW,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
rmn,13 (7),1 (1),18,54.5%,-5,75.2,2,0.78,SAW,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
arki,5 (3),5 (1),18,59.1%,-13,55.5,-1,0.49,SAW,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
stadodo,6 (2),2 (0),19,36.4%,-13,37.6,0,0.4,SAW,118240,t,16 : 6 ( 10 : 5 ) ( 6 : 1 ),1.37 : 0.71,10 : 12,2 : 1,Train,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,1,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
VINI,20 (9),4 (0),19,70.0%,1,76.0,2,1.04,FURIA,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
yuurih,18 (4),5 (0),19,66.7%,-1,77.6,3,1.04,FURIA,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
junior,19 (6),5 (3),19,70.0%,0,70.9,2,1.01,FURIA,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
arT,20 (10),2 (1),23,56.7%,-3,74.6,0,1.0,FURIA,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
KSCERATO,18 (9),4 (2),20,66.7%,-2,63.1,-1,0.85,FURIA,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
chelo,26 (15),6 (0),23,66.7%,3,91.6,2,1.3,MIBR,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
yel,20 (6),3 (0),15,70.0%,5,75.9,-2,1.15,MIBR,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
exit,23 (10),2 (1),18,70.0%,5,76.5,-1,1.09,MIBR,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
shz,15 (8),10 (3),20,70.0%,-5,66.4,-1,0.91,MIBR,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
boltz,15 (8),4 (0),19,66.7%,-4,47.3,-4,0.76,MIBR,118140,ct,16 : 14 ( 8 : 7 ) ( 8 : 7 ),0.99 : 1.04,18 : 12,3 : 0,Mirage,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,0,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
yuurih,25 (13),5 (0),14,88.5%,11,109.8,3,1.6,FURIA,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
KSCERATO,20 (11),6 (2),13,76.9%,7,77.5,1,1.3,FURIA,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
junior,16 (8),9 (3),14,88.5%,2,77.0,-1,1.23,FURIA,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
arT,18 (8),5 (0),20,76.9%,-2,75.4,3,1.22,FURIA,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
VINI,17 (4),1 (0),13,73.1%,4,56.6,0,0.98,FURIA,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
chelo,20 (15),2 (0),23,61.5%,-3,93.5,0,1.08,MIBR,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
exit,13 (3),7 (1),16,69.2%,-3,64.2,-2,0.88,MIBR,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
yel,14 (5),6 (4),18,61.5%,-4,46.3,-1,0.83,MIBR,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
boltz,14 (4),2 (0),18,57.7%,-4,51.0,-1,0.76,MIBR,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
shz,13 (5),4 (1),21,53.8%,-8,70.1,-2,0.65,MIBR,118147,t,16 : 10 ( 6 : 9 ) ( 10 : 1 ),1.27 : 0.84,16 : 10,0 : 4,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,FURIA,MIBR,2,0,1,1.25 / 3.75,"1. MIBR removed Nuke
2. FURIA removed Dust2
3. MIBR picked Mirage
4. FURIA picked Vertigo
5. MIBR removed Inferno
6. FURIA removed Overpass
7. Train was left over",2347745
sh1ro,28 (6),5 (2),13,83.3%,15,115.3,0,1.73,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Hobbit,26 (19),2 (0),16,75.0%,10,108.9,2,1.54,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Ax1Le,17 (11),2 (1),10,70.8%,7,74.3,-2,1.14,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
interz,11 (3),5 (2),9,83.3%,2,56.2,1,1.01,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
nafany,14 (2),4 (0),16,70.8%,-2,63.1,1,0.97,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
REAL1ZE,20 (4),1 (0),18,62.5%,2,85.5,2,1.13,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
BOROS,12 (9),5 (0),20,58.3%,-8,57.2,1,0.79,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Bibu,10 (5),5 (0),18,66.7%,-8,58.2,-2,0.65,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Dementor,12 (6),4 (0),20,50.0%,-8,52.3,0,0.64,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
gejmzilla,8 (6),7 (5),20,54.2%,-12,54.5,-3,0.6,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,0,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Hobbit,22 (14),9 (2),6,88.9%,16,128.6,-1,2.22,Gambit,118131,t,16 : 2 ( 13 : 2 ) ( 3 : 0 ),1.68 : 0.50,12 : 6,3 : 0,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
nafany,18 (12),9 (0),10,83.3%,8,136.4,3,2.01,Gambit,118131,t,16 : 2 ( 13 : 2 ) ( 3 : 0 ),1.68 : 0.50,12 : 6,3 : 0,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
sh1ro,17 (3),0 (0),6,88.9%,11,85.0,3,1.71,Gambit,118131,t,16 : 2 ( 13 : 2 ) ( 3 : 0 ),1.68 : 0.50,12 : 6,3 : 0,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Ax1Le,16 (6),1 (0),11,77.8%,5,79.4,1,1.36,Gambit,118131,t,16 : 2 ( 13 : 2 ) ( 3 : 0 ),1.68 : 0.50,12 : 6,3 : 0,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
interz,10 (3),2 (1),9,88.9%,1,38.5,0,1.09,Gambit,118131,t,16 : 2 ( 13 : 2 ) ( 3 : 0 ),1.68 : 0.50,12 : 6,3 : 0,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
Dementor,8 (5),6 (1),16,55.6%,-8,80.6,-2,0.66,NASR,118131,t,16 : 2 ( 13 : 2 ) ( 3 : 0 ),1.68 : 0.50,12 : 6,3 : 0,Vertigo,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1,1.00 / 21.00,"1. NASR removed Overpass
2. Gambit removed Nuke
3. NASR picked Dust2
4. Gambit picked Vertigo
5. NASR removed Inferno
6. Gambit removed Train
7. Mirage was left over",2347744
