"","Team","n","avgScore"
"187","Torqued",101,0.936
"188","Tricked",1040,1.05759162303665
"189","Triumph",255,0.936274509803922
"190","TSM",430,1.00461538461538
"191","Turkey",40,1.05
"192","TYLOO",2100,1.08325870646766
"193","Ukraine",85,1.18529411764706
"194","Unicorns of Love",50,0.778888888888889
"195","Unique",80,0.9275
"196","Valiance",880,1.10761627906977
"197","Vega Squadron",660,0.976910569105691
"198","VG.CyberZen",420,1.04234567901235
"199","VG.Flash",70,0.914285714285714
"200","ViCi",250,0.9452
"201","Virtus.pro",4646,1.03754890678941
"202","Vitality",2680,1.09876923076923
"203","VOYVODA",40,0.93
"204","W7M",40,0.76875
"205","Windigo",1170,1.0425
"206","Winstrike",420,0.961951219512195
"207","Winterfox",105,0.911428571428571
"208","Wisla Krakow",140,0.911785714285714
"209","Wizards",55,0.908888888888889
"210","Wololos",45,1.00777777777778
"211","Worst Players",55,1.04375
"212","X",250,1.1336170212766
"213","x-kom",110,0.9
"214","x6tence",45,0.854444444444444
"215","x6tence Galaxy",75,0.917333333333333
"216","Yeah",80,0.915
